"項目","単位","1980_55","1981_56","1982_57","1983_58","1984_59","1985_60","1986_61","1987_62","1988_63","1989_1","1990_2","1991_3","1992_4","1993_5","1994_6","1995_7","1996_8","1997_9","1998_10","1999_11","2000_12","2001_13","2002_14","2003_15","2004_16","2005_17","2006_18","有効数字(少数桁)"
"事業所数（民営）_旧本宮町","事業所","","282.0","","","","","291.0","","","","","284.0","","","275.0","","279.0","","","277.0","","266.0","","","252.0","","…",""
"事業所数（民営）_新宮市","事業所","","3461.0","","","","","3474.0","","","","","3338.0","","","3288.0","","3167.0","","","3036.0","","3040.0","","","2905.0","","2837.0",""
"事業所数（民営）_旧新宮市","事業所","","3349.0","","","","","3355.0","","","","","3205.0","","","3161.0","","3054.0","","","2929.0","","2936.0","","","2805.0","","…",""
"事業所数（民営）_旧熊野川町","事業所","","112.0","","","","","119.0","","","","","133.0","","","127.0","","113.0","","","107.0","","104.0","","","100.0","","…",""
"事業所数（民営）_紀の川市","事業所","","2588.0","","","","","2756.0","","","","","2739.0","","","2704.0","","2724.0","","","2560.0","","2671.0","","","2489.0","","2684.0",""
"事業所数（民営）_旧打田町","事業所","","620.0","","","","","591.0","","","","","533.0","","","507.0","","554.0","","","530.0","","643.0","","","612.0","","…",""
"事業所数（民営）_旧粉河町","事業所","","679.0","","","","","692.0","","","","","716.0","","","682.0","","683.0","","","594.0","","555.0","","","498.0","","…",""
"事業所数（民営）_旧那賀町","事業所","","423.0","","","","","442.0","","","","","422.0","","","425.0","","415.0","","","400.0","","389.0","","","365.0","","…",""
"事業所数（民営）_旧桃山町","事業所","","323.0","","","","","360.0","","","","","347.0","","","362.0","","346.0","","","312.0","","312.0","","","281.0","","…",""
"事業所数（民営）_旧貴志川町","事業所","","543.0","","","","","671.0","","","","","721.0","","","728.0","","726.0","","","724.0","","772.0","","","733.0","","…",""
"事業所数（民営）_岩出市（岩出町）","事業所","","871.0","","","","","945.0","","","","","1248.0","","","1233.0","","1209.0","","","1104.0","","1028.0","","","1067.0","","1247.0",""
"事業所数（民営）_紀美野町","事業所","","821.0","","","","","835.0","","","","","802.0","","","774.0","","732.0","","","657.0","","619.0","","","580.0","","568.0",""
"事業所数（民営）_旧野上町","事業所","","542.0","","","","","539.0","","","","","535.0","","","513.0","","489.0","","","429.0","","413.0","","","378.0","","…",""
"事業所数（民営）_旧美里町","事業所","","279.0","","","","","296.0","","","","","267.0","","","261.0","","243.0","","","228.0","","206.0","","","202.0","","…",""
"事業所数（民営）_かつらぎ町","事業所","","1427.0","","","","","1364.0","","","","","1275.0","","","1241.0","","1138.0","","","1042.0","","1062.0","","","963.0","","921.0",""
"事業所数（民営）_旧かつらぎ町","事業所","","1366.0","","","","","1308.0","","","","","1223.0","","","1192.0","","1086.0","","","995.0","","1016.0","","","928.0","","…",""
"事業所数（民営）_旧花園村","事業所","","61.0","","","","","56.0","","","","","52.0","","","49.0","","52.0","","","47.0","","46.0","","","35.0","","…",""
"事業所数（民営）_九度山町","事業所","","314.0","","","","","288.0","","","","","281.0","","","268.0","","267.0","","","287.0","","323.0","","","278.0","","270.0",""
"事業所数（民営）_高野町","事業所","","629.0","","","","","547.0","","","","","502.0","","","494.0","","478.0","","","438.0","","419.0","","","380.0","","378.0",""
"事業所数（民営）_湯浅町","事業所","","1290.0","","","","","1269.0","","","","","1212.0","","","1168.0","","1165.0","","","1090.0","","1094.0","","","1081.0","","1048.0",""
"事業所数（民営）_広川町","事業所","","448.0","","","","","426.0","","","","","441.0","","","447.0","","432.0","","","430.0","","393.0","","","403.0","","393.0",""
"事業所数（民営）_有田川町","事業所","","1660.0","","","","","1734.0","","","","","1754.0","","","1742.0","","1705.0","","","1686.0","","1700.0","","","1654.0","","1605.0",""
"事業所数（民営）_旧吉備町","事業所","","761.0","","","","","865.0","","","","","906.0","","","917.0","","912.0","","","946.0","","1034.0","","","985.0","","…",""
"事業所数（民営）_旧金屋町","事業所","","434.0","","","","","417.0","","","","","414.0","","","413.0","","404.0","","","380.0","","337.0","","","338.0","","…",""
"事業所数（民営）_旧清水町","事業所","","465.0","","","","","452.0","","","","","434.0","","","412.0","","389.0","","","360.0","","329.0","","","331.0","","…",""
"事業所数（民営）_美浜町","事業所","","343.0","","","","","467.0","","","","","396.0","","","389.0","","414.0","","","385.0","","388.0","","","391.0","","414.0",""
"事業所数（民営）_日高町","事業所","","358.0","","","","","358.0","","","","","318.0","","","309.0","","349.0","","","343.0","","330.0","","","355.0","","349.0",""
