"項目","単位","1980_55","1981_56","1982_57","1983_58","1984_59","1985_60","1986_61","1987_62","1988_63","1989_1","1990_2","1991_3","1992_4","1993_5","1994_6","1995_7","1996_8","1997_9","1998_10","1999_11","2000_12","2001_13","2002_14","2003_15","2004_16","2005_17","2006_18","有効数字(少数桁)"
"産業（新）大分類別事業所数（総数）_電気･ガス･熱供給･水道業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","…","","…",""
"産業（新）大分類別事業所数（総数）_情報通信業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","…","","…",""
"産業（新）大分類別事業所数（総数）_運輸業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","…","","…",""
"産業（新）大分類別事業所数（総数）_卸売･小売業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","…","","…",""
"産業（新）大分類別事業所数（総数）_金融･保険業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","…","","…",""
"産業（新）大分類別事業所数（総数）_不動産業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","…","","…",""
"産業（新）大分類別事業所数（総数）_飲食店,宿泊業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","…","","…",""
"産業（新）大分類別事業所数（総数）_医療,福祉","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","…","","…",""
"産業（新）大分類別事業所数（総数）_教育,学習支援業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","…","","…",""
"産業（新）大分類別事業所数（総数）_複合サービス事業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","…","","…",""
"産業（新）大分類別事業所数（総数）_サービス業（他に分類されないもの）","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","…","","…",""
"産業（新）大分類別事業所数（総数）_公務（他に分類されないもの）","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","…","","…",""
"産業（新）大分類別事業所数（総数）_旧古座町","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","…","","…",""
"産業（新）大分類別事業所数（総数）_農業・林業・漁業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","…","","…",""
"産業（新）大分類別事業所数（総数）_鉱業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","…","","…",""
"産業（新）大分類別事業所数（総数）_建設業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","…","","…",""
"産業（新）大分類別事業所数（総数）_製造業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","…","","…",""
"産業（新）大分類別事業所数（総数）_電気･ガス･熱供給･水道業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","…","","…",""
"産業（新）大分類別事業所数（総数）_情報通信業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","…","","…",""
"産業（新）大分類別事業所数（総数）_運輸業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","…","","…",""
"産業（新）大分類別事業所数（総数）_卸売･小売業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","…","","…",""
"産業（新）大分類別事業所数（総数）_金融･保険業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","…","","…",""
"産業（新）大分類別事業所数（総数）_不動産業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","…","","…",""
"産業（新）大分類別事業所数（総数）_飲食店,宿泊業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","…","","…",""
"産業（新）大分類別事業所数（総数）_医療,福祉","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","…","","…",""
"産業（新）大分類別事業所数（総数）_教育,学習支援業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","…","","…",""
"産業（新）大分類別事業所数（総数）_複合サービス事業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","…","","…",""
"産業（新）大分類別事業所数（総数）_サービス業（他に分類されないもの）","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","…","","…",""
"産業（新）大分類別事業所数（総数）_公務（他に分類されないもの）","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","…","","…",""
"産業（新）大分類別事業所数（民営）","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"産業（新）大分類別事業所数（民営）_和歌山県","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","52861.0","","52508.0",""
"産業（新）大分類別事業所数（民営）_農業・林業・漁業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","161.0","","163.0",""
"産業（新）大分類別事業所数（民営）_鉱業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","9.0","","8.0",""
"産業（新）大分類別事業所数（民営）_建設業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","5243.0","","5120.0",""
"産業（新）大分類別事業所数（民営）_製造業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","4681.0","","4483.0",""
"産業（新）大分類別事業所数（民営）_電気･ガス･熱供給･水道業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","34.0","","32.0",""
"産業（新）大分類別事業所数（民営）_情報通信業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","218.0","","227.0",""
"産業（新）大分類別事業所数（民営）_運輸業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","859.0","","848.0",""
"産業（新）大分類別事業所数（民営）_卸売･小売業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","16736.0","","16250.0",""
"産業（新）大分類別事業所数（民営）_金融･保険業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","788.0","","799.0",""
"産業（新）大分類別事業所数（民営）_不動産業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","2873.0","","2878.0",""
"産業（新）大分類別事業所数（民営）_飲食店,宿泊業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","6811.0","","6529.0",""
"産業（新）大分類別事業所数（民営）_医療,福祉","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","2596.0","","2887.0",""
"産業（新）大分類別事業所数（民営）_教育,学習支援業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","1512.0","","1591.0",""
"産業（新）大分類別事業所数（民営）_複合サービス事業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","438.0","","680.0",""
"産業（新）大分類別事業所数（民営）_サービス業（他に分類されないもの）","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","9902.0","","10013.0",""
"産業（新）大分類別事業所数（民営）_和歌山市","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","16641.0","","16403.0",""
"産業（新）大分類別事業所数（民営）_農業・林業・漁業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","11.0","","14.0",""
"産業（新）大分類別事業所数（民営）_鉱業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","-","","-",""
"産業（新）大分類別事業所数（民営）_建設業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","1106.0","","1086.0",""
"産業（新）大分類別事業所数（民営）_製造業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","1573.0","","1501.0",""
"産業（新）大分類別事業所数（民営）_電気･ガス･熱供給･水道業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","8.0","","10.0",""
"産業（新）大分類別事業所数（民営）_情報通信業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","96.0","","98.0",""
"産業（新）大分類別事業所数（民営）_運輸業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","274.0","","264.0",""
"産業（新）大分類別事業所数（民営）_卸売･小売業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","5183.0","","4987.0",""
"産業（新）大分類別事業所数（民営）_金融･保険業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","299.0","","310.0",""
"産業（新）大分類別事業所数（民営）_不動産業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","1147.0","","1167.0",""
"産業（新）大分類別事業所数（民営）_飲食店,宿泊業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","2067.0","","1943.0",""
"産業（新）大分類別事業所数（民営）_医療,福祉","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","1036.0","","1130.0",""
"産業（新）大分類別事業所数（民営）_教育,学習支援業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","416.0","","432.0",""
"産業（新）大分類別事業所数（民営）_複合サービス事業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","82.0","","146.0",""
"産業（新）大分類別事業所数（民営）_サービス業（他に分類されないもの）","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","3343.0","","3315.0",""
"産業（新）大分類別事業所数（民営）_海南市","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","3266.0","","3235.0",""
"産業（新）大分類別事業所数（民営）_農業・林業・漁業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","5.0","","4.0",""
"産業（新）大分類別事業所数（民営）_鉱業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","1.0","","1.0",""
"産業（新）大分類別事業所数（民営）_建設業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","226.0","","237.0",""
"産業（新）大分類別事業所数（民営）_製造業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","473.0","","449.0",""
"産業（新）大分類別事業所数（民営）_電気･ガス･熱供給･水道業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","2.0","","2.0",""
"産業（新）大分類別事業所数（民営）_情報通信業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","26.0","","23.0",""
"産業（新）大分類別事業所数（民営）_運輸業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","75.0","","76.0",""
"産業（新）大分類別事業所数（民営）_卸売･小売業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","1099.0","","1040.0",""
"産業（新）大分類別事業所数（民営）_金融･保険業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","35.0","","38.0",""
"産業（新）大分類別事業所数（民営）_不動産業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","174.0","","180.0",""
"産業（新）大分類別事業所数（民営）_飲食店,宿泊業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","326.0","","321.0",""
"産業（新）大分類別事業所数（民営）_医療,福祉","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","157.0","","170.0",""
"産業（新）大分類別事業所数（民営）_教育,学習支援業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","77.0","","85.0",""
"産業（新）大分類別事業所数（民営）_複合サービス事業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","25.0","","41.0",""
"産業（新）大分類別事業所数（民営）_サービス業（他に分類されないもの）","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","565.0","","568.0",""
"産業（新）大分類別事業所数（民営）_旧海南市","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","2493.0","","…",""
"産業（新）大分類別事業所数（民営）_農林漁業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","4.0","","…",""
"産業（新）大分類別事業所数（民営）_鉱業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","-","","…",""
"産業（新）大分類別事業所数（民営）_建設業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","143.0","","…",""
"産業（新）大分類別事業所数（民営）_製造業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","420.0","","…",""
"産業（新）大分類別事業所数（民営）_電気･ガス･熱供給･水道業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","1.0","","…",""
"産業（新）大分類別事業所数（民営）_情報通信業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","26.0","","…",""
"産業（新）大分類別事業所数（民営）_運輸業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","35.0","","…",""
"産業（新）大分類別事業所数（民営）_卸売･小売業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","851.0","","…",""
"産業（新）大分類別事業所数（民営）_金融･保険業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","31.0","","…",""
"産業（新）大分類別事業所数（民営）_不動産業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","87.0","","…",""
"産業（新）大分類別事業所数（民営）_飲食店,宿泊業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","265.0","","…",""
"産業（新）大分類別事業所数（民営）_医療,福祉","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","132.0","","…",""
"産業（新）大分類別事業所数（民営）_教育,学習支援業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","62.0","","…",""
"産業（新）大分類別事業所数（民営）_複合サービス事業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","15.0","","…",""
"産業（新）大分類別事業所数（民営）_サービス業（他に分類されないもの）","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","421.0","","…",""
"産業（新）大分類別事業所数（民営）_旧下津町","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","773.0","","…",""
"産業（新）大分類別事業所数（民営）_農業・林業・漁業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","1.0","","…",""
"産業（新）大分類別事業所数（民営）_鉱業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","1.0","","…",""
"産業（新）大分類別事業所数（民営）_建設業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","83.0","","…",""
"産業（新）大分類別事業所数（民営）_製造業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","53.0","","…",""
"産業（新）大分類別事業所数（民営）_電気･ガス･熱供給･水道業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","1.0","","…",""
"産業（新）大分類別事業所数（民営）_情報通信業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","-","","…",""
"産業（新）大分類別事業所数（民営）_運輸業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","40.0","","…",""
"産業（新）大分類別事業所数（民営）_卸売･小売業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","248.0","","…",""
"産業（新）大分類別事業所数（民営）_金融･保険業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","4.0","","…",""
"産業（新）大分類別事業所数（民営）_不動産業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","87.0","","…",""
"産業（新）大分類別事業所数（民営）_飲食店,宿泊業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","61.0","","…",""
"産業（新）大分類別事業所数（民営）_医療,福祉","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","25.0","","…",""
"産業（新）大分類別事業所数（民営）_教育,学習支援業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","15.0","","…",""
"産業（新）大分類別事業所数（民営）_複合サービス事業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","10.0","","…",""
"産業（新）大分類別事業所数（民営）_サービス業（他に分類されないもの）","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","144.0","","…",""
"産業（新）大分類別事業所数（民営）_橋本市","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","2745.0","","2702.0",""
"産業（新）大分類別事業所数（民営）_農業・林業・漁業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","2.0","","2.0",""
"産業（新）大分類別事業所数（民営）_鉱業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","-","","-",""
"産業（新）大分類別事業所数（民営）_建設業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","225.0","","211.0",""
"産業（新）大分類別事業所数（民営）_製造業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","411.0","","381.0",""
"産業（新）大分類別事業所数（民営）_電気･ガス･熱供給･水道業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","5.0","","4.0",""
"産業（新）大分類別事業所数（民営）_情報通信業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","6.0","","7.0",""
"産業（新）大分類別事業所数（民営）_運輸業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","31.0","","30.0",""
"産業（新）大分類別事業所数（民営）_卸売･小売業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","818.0","","800.0",""
"産業（新）大分類別事業所数（民営）_金融･保険業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","44.0","","48.0",""
"産業（新）大分類別事業所数（民営）_不動産業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","150.0","","150.0",""
"産業（新）大分類別事業所数（民営）_飲食店,宿泊業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","317.0","","296.0",""
"産業（新）大分類別事業所数（民営）_医療,福祉","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","147.0","","158.0",""
"産業（新）大分類別事業所数（民営）_教育,学習支援業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","111.0","","118.0",""
"産業（新）大分類別事業所数（民営）_複合サービス事業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","19.0","","24.0",""
"産業（新）大分類別事業所数（民営）_サービス業（他に分類されないもの）","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","459.0","","473.0",""
"産業（新）大分類別事業所数（民営）_旧橋本市","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","1875.0","","…",""
"産業（新）大分類別事業所数（民営）_農業・林業・漁業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","2.0","","…",""
"産業（新）大分類別事業所数（民営）_鉱業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","-","","…",""
"産業（新）大分類別事業所数（民営）_建設業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","154.0","","…",""
"産業（新）大分類別事業所数（民営）_製造業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","168.0","","…",""
"産業（新）大分類別事業所数（民営）_電気･ガス･熱供給･水道業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","3.0","","…",""
"産業（新）大分類別事業所数（民営）_情報通信業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","5.0","","…",""
"産業（新）大分類別事業所数（民営）_運輸業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","20.0","","…",""
"産業（新）大分類別事業所数（民営）_卸売･小売業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","568.0","","…",""
"産業（新）大分類別事業所数（民営）_金融･保険業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","31.0","","…",""
"産業（新）大分類別事業所数（民営）_不動産業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","129.0","","…",""
"産業（新）大分類別事業所数（民営）_飲食店,宿泊業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","244.0","","…",""
"産業（新）大分類別事業所数（民営）_医療,福祉","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","111.0","","…",""
"産業（新）大分類別事業所数（民営）_教育,学習支援業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","89.0","","…",""
"産業（新）大分類別事業所数（民営）_複合サービス事業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","12.0","","…",""
"産業（新）大分類別事業所数（民営）_サービス業（他に分類されないもの）","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","339.0","","…",""
"産業（新）大分類別事業所数（民営）_旧高野口町","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","870.0","","…",""
"産業（新）大分類別事業所数（民営）_農業・林業・漁業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","-","","…",""
"産業（新）大分類別事業所数（民営）_鉱業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","-","","…",""
"産業（新）大分類別事業所数（民営）_建設業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","71.0","","…",""
"産業（新）大分類別事業所数（民営）_製造業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","243.0","","…",""
"産業（新）大分類別事業所数（民営）_電気･ガス･熱供給･水道業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","2.0","","…",""
"産業（新）大分類別事業所数（民営）_情報通信業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","1.0","","…",""
"産業（新）大分類別事業所数（民営）_運輸業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","11.0","","…",""
"産業（新）大分類別事業所数（民営）_卸売･小売業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","250.0","","…",""
"産業（新）大分類別事業所数（民営）_金融･保険業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","13.0","","…",""
"産業（新）大分類別事業所数（民営）_不動産業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","21.0","","…",""
"産業（新）大分類別事業所数（民営）_飲食店,宿泊業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","73.0","","…",""
"産業（新）大分類別事業所数（民営）_医療,福祉","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","36.0","","…",""
"産業（新）大分類別事業所数（民営）_教育,学習支援業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","22.0","","…",""
"産業（新）大分類別事業所数（民営）_複合サービス事業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","7.0","","…",""
"産業（新）大分類別事業所数（民営）_サービス業（他に分類されないもの）","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","120.0","","…",""
"産業（新）大分類別事業所数（民営）_有田市","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","2083.0","","2062.0",""
"産業（新）大分類別事業所数（民営）_農業・林業・漁業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","7.0","","7.0",""
"産業（新）大分類別事業所数（民営）_鉱業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","-","","-",""
"産業（新）大分類別事業所数（民営）_建設業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","254.0","","247.0",""
"産業（新）大分類別事業所数（民営）_製造業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","152.0","","146.0",""
"産業（新）大分類別事業所数（民営）_電気･ガス･熱供給･水道業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","1.0","","-",""
"産業（新）大分類別事業所数（民営）_情報通信業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","5.0","","5.0",""
"産業（新）大分類別事業所数（民営）_運輸業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","35.0","","31.0",""
"産業（新）大分類別事業所数（民営）_卸売･小売業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","645.0","","627.0",""
"産業（新）大分類別事業所数（民営）_金融･保険業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","32.0","","28.0",""
"産業（新）大分類別事業所数（民営）_不動産業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","273.0","","270.0",""
"産業（新）大分類別事業所数（民営）_飲食店,宿泊業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","186.0","","174.0",""
"産業（新）大分類別事業所数（民営）_医療,福祉","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","75.0","","80.0",""
"産業（新）大分類別事業所数（民営）_教育,学習支援業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","85.0","","92.0",""
"産業（新）大分類別事業所数（民営）_複合サービス事業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","12.0","","18.0",""
"産業（新）大分類別事業所数（民営）_サービス業（他に分類されないもの）","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","321.0","","337.0",""
"産業（新）大分類別事業所数（民営）_御坊市","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","2193.0","","2138.0",""
"産業（新）大分類別事業所数（民営）_農業・林業・漁業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","7.0","","6.0",""
"産業（新）大分類別事業所数（民営）_鉱業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","-","","-",""
"産業（新）大分類別事業所数（民営）_建設業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","220.0","","204.0",""
"産業（新）大分類別事業所数（民営）_製造業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","118.0","","106.0",""
"産業（新）大分類別事業所数（民営）_電気･ガス･熱供給･水道業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","2.0","","2.0",""
"産業（新）大分類別事業所数（民営）_情報通信業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","12.0","","13.0",""
"産業（新）大分類別事業所数（民営）_運輸業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","28.0","","26.0",""
"産業（新）大分類別事業所数（民営）_卸売･小売業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","759.0","","718.0",""
"産業（新）大分類別事業所数（民営）_金融･保険業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","36.0","","35.0",""
"産業（新）大分類別事業所数（民営）_不動産業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","103.0","","109.0",""
"産業（新）大分類別事業所数（民営）_飲食店,宿泊業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","308.0","","298.0",""
"産業（新）大分類別事業所数（民営）_医療,福祉","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","91.0","","108.0",""
"産業（新）大分類別事業所数（民営）_教育,学習支援業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","72.0","","72.0",""
"産業（新）大分類別事業所数（民営）_複合サービス事業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","25.0","","32.0",""
"産業（新）大分類別事業所数（民営）_サービス業（他に分類されないもの）","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","412.0","","409.0",""
"産業（新）大分類別事業所数（民営）_田辺市","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","5420.0","","5452.0",""
"産業（新）大分類別事業所数（民営）_農業・林業・漁業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","7.0","","8.0",""
"産業（新）大分類別事業所数（民営）_鉱業","事業所","","…","","","","","…","","","","","…","","","…","","…","","","…","","…","","","3.0","","2.0",""
